Team,FGM,Att,FG,1-19 >,20-29 >,30-39 >,40-49 >,50-59 >,60+ >,Lng,FGPct,XPM,XP,KRet,PRet,KO,Yds,TB,TBPct,Ret,RetPct,OSK,OSKPct,OOB,TD,Cmp,CmpPct,Yds/Att,Pass,INT,Rate,1st,1stPct,20+,40+,Sck,SckY,Avg,FC,FUM
Jets,,,,,,,,,,,,,,,,81.0,5156.0,17.0,21.0,61.0,21.2,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Bengals,,,,,,,,,,,,,,,,80.0,5317.0,36.0,45.0,44.0,20.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Bills,,,,,,,,,,,,,,,,79.0,4935.0,19.0,24.0,56.0,20.4,4.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
Titans,,,,,,,,,,,,,,,,78.0,4991.0,44.0,56.4,30.0,22.7,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,,
Vikings,,,,,,,,,,,,,,,,78.0,5027.0,19.0,24.4,57.0,24.6,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
Seahawks,,,,,,,,,,,,,,,,75.0,4969.0,26.0,34.7,48.0,26.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
Cardinals,,,,,,,,,,,,,,,,74.0,4993.0,22.0,29.7,52.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Redskins,,,,,,,,,,,,,,,,73.0,4629.0,32.0,43.8,36.0,20.8,3.0,0.0,3.0,0.0,,,,,,,,,,,,,,,
Steelers,,,,,,,,,,,,,,,,72.0,4789.0,28.0,38.9,43.0,23.7,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Broncos,,,,,,,,,,,,,,,,70.0,4508.0,47.0,67.1,20.0,24.6,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
Buccaneers,,,,,,,,,,,,,,,,69.0,4270.0,37.0,53.6,25.0,22.8,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Jaguars,,,,,,,,,,,,,,,,65.0,4319.0,39.0,60.0,26.0,24.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Colts,,,,,,,,,,,,,,,,63.0,4220.0,41.0,65.1,19.0,30.7,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Chiefs,,,,,,,,,,,,,,,,60.0,3737.0,31.0,51.7,25.0,24.2,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Browns,,,,,,,,,,,,,,,,59.0,3728.0,10.0,17.0,46.0,22.9,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Rams,,,,,,,,,,,,,,,,54.0,3537.0,15.0,27.8,36.0,25.1,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
Lions,,666.0,,,,,,,,73T,,,,,,,,,,,,,,,41.0,423.0,63.5,7.6,5071.0,16.0,97.2,244.0,36.6,65.0,16.0,36.0,257.0,,,
Saints,,662.0,,,,,,,,79T,,,,,,,,,,,,,,,46.0,472.0,71.3,8.3,5505.0,14.0,110.5,280.0,42.3,69.0,11.0,24.0,158.0,,,
Patriots,,612.0,,,,,,,,99T,,,,,,,,,,,,,,,39.0,402.0,65.7,8.6,5257.0,12.0,105.7,262.0,42.8,72.0,14.0,32.0,173.0,,,
Falcons,,594.0,,,,,,,,80T,,,,,,,,,,,,,,,29.0,365.0,61.4,7.4,4365.0,13.0,91.1,215.0,36.2,56.0,10.0,26.0,173.0,,,
Redskins,,591.0,,,,,,,,51T,,,,,,,,,,,,,,,19.0,346.0,58.5,6.9,4058.0,24.0,73.3,204.0,34.5,57.0,7.0,41.0,285.0,,,
Giants,,589.0,,,,,,,,99T,,,,,,,,,,,,,,,29.0,359.0,61.0,8.4,4933.0,16.0,92.9,216.0,36.7,67.0,18.0,28.0,199.0,,,
Buccaneers,,588.0,,,,,,,,65,,,,,,,,,,,,,,,17.0,365.0,62.1,6.5,3838.0,24.0,73.6,180.0,30.6,37.0,6.0,32.0,188.0,,,
Titans,,584.0,,,,,,,,80T,,,,,,,,,,,,,,,22.0,353.0,60.4,7.0,4113.0,14.0,84.4,185.0,31.7,51.0,14.0,24.0,190.0,,,
Chargers,,582.0,,,,,,,,58,,,,,,,,,,,,,,,27.0,366.0,62.9,8.0,4624.0,20.0,88.7,234.0,40.2,69.0,8.0,30.0,198.0,,,
Bills,,578.0,,,,,,,,60,,,,,,,,,,,,,,,24.0,356.0,61.6,6.7,3857.0,25.0,77.0,180.0,31.1,48.0,8.0,23.0,154.0,,,
Browns,,570.0,,,,,,,,76,,,,,,,,,,,,,,,16.0,320.0,56.1,5.8,3300.0,13.0,72.8,173.0,30.4,32.0,6.0,39.0,210.0,,,
Cowboys,,570.0,,,,,,,,77,,,,,,,,,,,,,,,33.0,376.0,66.0,7.8,4453.0,12.0,100.1,219.0,38.4,58.0,11.0,39.0,252.0,,,
Eagles,,554.0,,,,,,,,73T,,,,,,,,,,,,,,,22.0,330.0,59.6,7.7,4276.0,25.0,78.3,197.0,35.6,64.0,10.0,32.0,166.0,,,
Packers,,552.0,,,,,,,,93,,,,,,,,,,,,,,,51.0,376.0,68.1,9.4,5161.0,8.0,122.6,230.0,41.7,70.0,16.0,41.0,237.0,,,
Cardinals,,550.0,,,,,,,,73,,,,,,,,,,,,,,,21.0,307.0,55.8,7.2,3954.0,23.0,73.9,175.0,31.8,55.0,15.0,54.0,387.0,,,
Rams,,549.0,,,,,,,,68,,,,,,,,,,,,,,,9.0,292.0,53.2,5.9,3258.0,10.0,69.0,159.0,29.0,37.0,3.0,55.0,388.0,,,
Jets,,547.0,,,,,,,,74T,,,,,,,,,,,,,,,26.0,310.0,56.7,6.5,3542.0,18.0,78.4,173.0,31.6,41.0,3.0,40.0,245.0,,,
Ravens,,544.0,,,,,,,,74,,,,,,,,,,,,,,,21.0,314.0,57.7,6.7,3629.0,12.0,81.7,181.0,33.3,44.0,7.0,33.0,206.0,,,
Steelers,,539.0,,,,,,,,95T,,,,,,,,,,,,,,,21.0,341.0,63.3,8.0,4333.0,15.0,89.7,221.0,41.0,60.0,10.0,42.0,279.0,,,
Bengals,,535.0,,,,,,,,84,,,,,,,,,,,,,,,21.0,308.0,57.6,6.6,3507.0,14.0,79.6,160.0,29.9,51.0,11.0,25.0,167.0,,,
Colts,,534.0,,,,,,,,87T,,,,,,,,,,,,,,,14.0,302.0,56.6,6.0,3223.0,14.0,72.2,170.0,31.8,32.0,6.0,35.0,228.0,,,
Raiders,,524.0,,,,,,,,78T,,,,,,,,,,,,,,,20.0,315.0,60.1,7.9,4119.0,23.0,79.4,186.0,35.5,63.0,14.0,25.0,157.0,,,
Panthers,,519.0,,,,,,,,91T,,,,,,,,,,,,,,,21.0,312.0,60.1,7.9,4089.0,17.0,84.8,175.0,33.7,66.0,9.0,35.0,260.0,,,
Vikings,,510.0,,,,,,,,72,,,,,,,,,,,,,,,20.0,286.0,56.1,6.4,3255.0,17.0,74.6,159.0,31.2,41.0,7.0,49.0,298.0,,,
Seahawks,,509.0,,,,,,,,61,,,,,,,,,,,,,,,15.0,299.0,58.7,6.8,3444.0,14.0,77.6,153.0,30.1,51.0,9.0,50.0,339.0,,,
Chiefs,,500.0,,,,,,,,52,,,,,,,,,,,,,,,13.0,299.0,59.8,6.6,3288.0,18.0,73.0,163.0,32.6,39.0,7.0,34.0,208.0,,,
Bears,,473.0,,,,,,,,81,,,,,,,,,,,,,,,18.0,268.0,56.7,7.1,3346.0,20.0,73.8,153.0,32.4,43.0,7.0,49.0,335.0,,,
Jaguars,,469.0,,,,,,,,74T,,,,,,,,,,,,,,,12.0,240.0,51.2,5.4,2510.0,15.0,62.2,122.0,26.0,30.0,4.0,44.0,331.0,,,
Dolphins,,469.0,,,,,,,,65T,,,,,,,,,,,,,,,20.0,280.0,59.7,7.3,3425.0,13.0,84.9,166.0,35.4,56.0,7.0,52.0,334.0,,,
Texans,,467.0,,,,,,,,80,,,,,,,,,,,,,,,20.0,288.0,61.7,7.9,3696.0,9.0,92.7,176.0,37.7,55.0,11.0,33.0,190.0,,,
Niners,,451.0,,,,,,,,56,,,,,,,,,,,,,,,18.0,277.0,61.4,7.1,3193.0,5.0,91.4,150.0,33.3,41.0,6.0,44.0,263.0,,,
Broncos,,429.0,,,,,,,,56,,,,,,,,,,,,,,,20.0,217.0,50.6,6.3,2708.0,13.0,73.4,130.0,30.3,36.0,8.0,42.0,274.0,,,
Bears,,,,,,,,,,82T,,,,,2.0,,470.0,,,30.0,,,,,,,,,,,,,,9.0,3.0,,,15.7,16.0,4.0
Cardinals,,,,,,,,,,99T,,,,,4.0,,696.0,,,46.0,,,,,,,,,,,,,,8.0,5.0,,,15.1,22.0,3.0
Broncos,,,,,,,,,,90,,,,,2.0,,596.0,,,47.0,,,,,,,,,,,,,,6.0,2.0,,,12.7,19.0,4.0
Bills,,,,,,,,,,80T,,,,,1.0,,329.0,,,26.0,,,,,,,,,,,,,,4.0,2.0,,,12.6,21.0,1.0
Niners,,,,,,,,,,55T,,,,,1.0,,544.0,,,44.0,,,,,,,,,,,,,,10.0,3.0,,,12.4,23.0,1.0
Chiefs,,,,,,,,,,37,,,,,0.0,,475.0,,,40.0,,,,,,,,,,,,,,6.0,0.0,,,11.9,10.0,2.0
Bengals,,,,,,,,,,63,,,,,1.0,,610.0,,,53.0,,,,,,,,,,,,,,6.0,3.0,,,11.5,18.0,1.0
Dolphins,,,,,,,,,,25,,,,,0.0,,526.0,,,46.0,,,,,,,,,,,,,,5.0,0.0,,,11.4,24.0,3.0
Browns,,,,,,,,,,84T,,,,,1.0,,423.0,,,38.0,,,,,,,,,,,,,,6.0,2.0,,,11.1,9.0,4.0
Seahawks,,,,,,,,,,37T,,,,,0.0,,464.0,,,42.0,,,,,,,,,,,,,,7.0,0.0,,,11.0,16.0,2.0
Rams,,,,,,,,,,88,,,,,1.0,,297.0,,,27.0,,,,,,,,,,,,,,3.0,1.0,,,11.0,25.0,4.0
Packers,,,,,,,,,,80,,,,,1.0,,295.0,,,27.0,,,,,,,,,,,,,,3.0,3.0,,,10.9,19.0,2.0
Steelers,,,,,,,,,,60T,,,,,1.0,,347.0,,,33.0,,,,,,,,,,,,,,6.0,2.0,,,10.5,26.0,0.0
Titans,,,,,,,,,,79,,,,,1.0,,490.0,,,47.0,,,,,,,,,,,,,,7.0,1.0,,,10.4,18.0,1.0
Texans,,,,,,,,,,79,,,,,1.0,,529.0,,,51.0,,,,,,,,,,,,,,7.0,5.0,,,10.4,11.0,0.0
Patriots,,,,,,,,,,72T,,,,,1.0,,389.0,,,38.0,,,,,,,,,,,,,,2.0,1.0,,,10.2,13.0,4.0
Saints,,,,,,,,,,72T,,,,,1.0,,294.0,,,29.0,,,,,,,,,,,,,,5.0,1.0,,,10.1,19.0,0.0
Jets,,,,,,,,,,53T,,,,,0.0,,426.0,,,44.0,,,,,,,,,,,,,,5.0,1.0,,,9.7,21.0,6.0
Ravens,,,,,,,,,,68,,,,,1.0,,345.0,,,36.0,,,,,,,,,,,,,,4.0,1.0,,,9.6,27.0,3.0
Falcons,,,,,,,,,,42T,,,,,0.0,,315.0,,,33.0,,,,,,,,,,,,,,2.0,1.0,,,9.6,19.0,1.0
Redskins,,,,,,,,,,55T,,,,,0.0,,328.0,,,37.0,,,,,,,,,,,,,,8.0,1.0,,,8.9,9.0,5.0
Chargers,,,,,,,,,,31,,,,,0.0,,264.0,,,31.0,,,,,,,,,,,,,,2.0,0.0,,,8.5,12.0,1.0
Vikings,,,,,,,,,,53,,,,,0.0,,277.0,,,33.0,,,,,,,,,,,,,,3.0,1.0,,,8.4,20.0,0.0
Raiders,,,,,,,,,,34,,,,,0.0,,264.0,,,32.0,,,,,,,,,,,,,,3.0,0.0,,,8.2,9.0,1.0
Buccaneers,,,,,,,,,,34,,,,,0.0,,231.0,,,29.0,,,,,,,,,,,,,,3.0,0.0,,,8.0,14.0,6.0
Lions,,,,,,,,,,28T,,,,,0.0,,301.0,,,38.0,,,,,,,,,,,,,,2.0,0.0,,,7.9,28.0,5.0
Cowboys,,,,,,,,,,25,,,,,0.0,,293.0,,,41.0,,,,,,,,,,,,,,3.0,0.0,,,7.2,14.0,2.0
Eagles,,,,,,,,,,51,,,,,0.0,,212.0,,,30.0,,,,,,,,,,,,,,3.0,1.0,,,7.1,28.0,4.0
Giants,,,,,,,,,,18T,,,,,0.0,,171.0,,,28.0,,,,,,,,,,,,,,0.0,0.0,,,6.1,21.0,3.0
Panthers,,,,,,,,,,17,,,,,0.0,,176.0,,,32.0,,,,,,,,,,,,,,0.0,0.0,,,5.5,9.0,0.0
Jaguars,,,,,,,,,,28T,,,,,0.0,,148.0,,,34.0,,,,,,,,,,,,,,2.0,0.0,,,4.4,19.0,1.0
Colts,,,,,,,,,,21T,,,,,0.0,,108.0,,,32.0,,,,,,,,,,,,,,2.0,0.0,,,3.4,23.0,0.0
Vikings,35.0,38.0,92.1,0_0,10_10,9_8,9_7,0_0,0_0,56,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,33.0,38.0,86.8,1_1,9_8,11_10,13_10,0_0,0_0,55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,33.0,39.0,84.6,0_0,11_11,16_14,9_7,0_0,0_0,50,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,32.0,36.0,88.9,1_1,3_3,10_10,19_16,0_0,0_0,53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,31.0,38.0,81.6,1_1,8_8,11_11,9_7,0_0,0_0,51,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,31.0,34.0,91.2,1_1,9_9,10_10,5_5,0_0,0_0,57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,30.0,33.0,90.9,0_0,8_8,8_8,13_10,0_0,0_0,56,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,30.0,35.0,85.7,2_2,8_8,9_9,12_9,0_0,0_0,55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,29.0,31.0,93.6,0_0,9_8,9_8,6_6,0_0,0_0,53,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,29.0,31.0,93.6,1_1,5_5,13_13,7_7,0_0,0_0,51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,29.0,35.0,82.9,0_0,8_8,12_10,13_9,0_0,0_0,53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niners,29.0,42.0,69.0,1_1,9_8,13_11,13_7,0_0,0_0,63,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,28.0,34.0,82.4,0_0,5_4,15_12,12_10,0_0,0_0,52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,28.0,31.0,90.3,0_0,8_7,8_8,12_12,0_0,0_0,52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,28.0,33.0,84.8,0_0,7_7,4_3,13_12,0_0,0_0,57,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,27.0,33.0,81.8,0_0,10_9,10_8,11_8,0_0,0_0,54,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,27.0,31.0,87.1,0_0,9_8,9_8,12_11,0_0,0_0,49,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,26.0,32.0,81.2,1_1,7_7,11_10,9_5,0_0,0_0,53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,26.0,33.0,78.8,1_1,8_8,7_4,10_9,0_0,0_0,53,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,25.0,31.0,80.6,0_0,6_6,13_13,10_5,0_0,0_0,53,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,25.0,28.0,89.3,1_1,4_4,8_8,13_11,0_0,0_0,50,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,25.0,28.0,89.3,0_0,6_6,10_9,10_8,0_0,0_0,61,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,25.0,27.0,92.6,2_2,8_8,6_6,7_7,0_0,0_0,51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,24.0,27.0,88.9,1_1,7_7,10_10,5_5,0_0,0_0,52,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redskins,24.0,30.0,80.0,0_0,4_4,8_5,15_14,0_0,0_0,50,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,23.0,31.0,74.2,1_1,4_4,6_4,7_7,0_0,0_0,60,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,23.0,30.0,76.7,0_0,3_3,9_9,13_9,0_0,0_0,53,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,21.0,24.0,87.5,1_1,3_3,11_10,7_6,0_0,0_0,50,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,21.0,33.0,63.6,0_0,5_5,7_5,12_9,0_0,0_0,54,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,21.0,27.0,77.8,0_0,8_7,8_6,7_5,0_0,0_0,54,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,18.0,22.0,81.8,0_0,9_9,6_4,3_2,0_0,0_0,53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,16.0,21.0,76.2,0_0,5_5,6_6,7_4,0_0,0_0,51,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,35.0,,92.1,,,,,,,,,36.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,33.0,,86.8,,,,,,,,,44.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,33.0,,84.6,,,,,,,,,46.0,100.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,32.0,,88.9,,,,,,,,,38.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,31.0,,81.6,,,,,,,,,45.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,31.0,,91.2,,,,,,,,,25.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,30.0,,90.9,,,,,,,,,42.0,100.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,30.0,,85.7,,,,,,,,,43.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,29.0,,93.6,,,,,,,,,29.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,29.0,,93.6,,,,,,,,,37.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,29.0,,82.9,,,,,,,,,66.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Niners,29.0,,69.0,,,,,,,,,44.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,28.0,,82.4,,,,,,,,,17.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,28.0,,90.3,,,,,,,,,34.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,28.0,,84.8,,,,,,,,,39.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,27.0,,81.8,,,,,,,,,40.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,27.0,,87.1,,,,,,,,,25.0,96.2,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,26.0,,81.2,,,,,,,,,55.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,26.0,,78.8,,,,,,,,,37.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,25.0,,80.6,,,,,,,,,35.0,100.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,25.0,,89.3,,,,,,,,,18.0,94.7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,25.0,,89.3,,,,,,,,,25.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,25.0,,92.6,,,,,,,,,39.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,24.0,,88.9,,,,,,,,,46.0,95.8,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Redskins,24.0,,80.0,,,,,,,,,50.0,98.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,23.0,,74.2,,,,,,,,,26.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,23.0,,76.7,,,,,,,,,29.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,21.0,,87.5,,,,,,,,,39.0,100.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,21.0,,63.6,,,,,,,,,50.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,21.0,,77.8,,,,,,,,,30.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,18.0,,81.8,,,,,,,,,57.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,16.0,,76.2,,,,,,,,,43.0,97.7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,,,,,,,,,,,,,,,,112.0,7274.0,52.0,46.4,60.0,20.5,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Broncos,,,,,,,,,,,,,,,,99.0,6365.0,65.0,65.7,34.0,22.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Falcons,,,,,,,,,,,,,,,,94.0,6141.0,45.0,47.9,48.0,22.2,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Giants,,,,,,,,,,,,,,,,94.0,6062.0,24.0,25.5,70.0,23.7,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Texans,,,,,,,,,,,,,,,,92.0,5790.0,28.0,30.4,62.0,25.7,2.0,0.0,0.0,2.0,,,,,,,,,,,,,,,
Saints,,,,,,,,,,,,,,,,92.0,5887.0,45.0,48.9,42.0,25.0,4.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
Redskins,,,,,,,,,,,,,,,,91.0,5797.0,33.0,36.3,55.0,23.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Ravens,,,,,,,,,,,,,,,,89.0,6002.0,49.0,55.1,37.0,23.2,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Bengals,,,,,,,,,,,,,,,,88.0,5835.0,27.0,30.7,60.0,24.5,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
Packers,,,,,,,,,,,,,,,,88.0,5741.0,35.0,39.8,51.0,23.4,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
Niners,,,,,,,,,,,,,,,,88.0,5805.0,40.0,45.4,48.0,26.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Seahawks,,,,,,,,,,,,,,,,88.0,5795.0,36.0,40.9,50.0,22.9,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Lions,,,,,,,,,,,,,,,,87.0,5414.0,30.0,34.5,52.0,23.3,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
Buccaneers,,,,,,,,,,,,,,,,87.0,5727.0,58.0,66.7,27.0,25.2,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Bears,,,,,,,,,,,,,,,,86.0,5639.0,49.0,57.0,37.0,20.7,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Vikings,,,,,,,,,,,,,,,,86.0,5858.0,53.0,61.6,33.0,24.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Cowboys,,,,,,,,,,,,,,,,84.0,5212.0,30.0,35.7,50.0,22.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Colts,,,,,,,,,,,,,,,,79.0,5455.0,45.0,57.0,34.0,24.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Chargers,,,,,,,,,,,,,,,,78.0,5081.0,30.0,38.5,45.0,22.6,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
Panthers,,,,,,,,,,,,,,,,77.0,4836.0,37.0,48.0,39.0,19.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Browns,,,,,,,,,,,,,,,,77.0,4914.0,30.0,39.0,43.0,19.8,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Steelers,,,,,,,,,,,,,,,,75.0,4784.0,29.0,38.7,46.0,24.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Titans,,,,,,,,,,,,,,,,74.0,4725.0,37.0,50.0,33.0,26.1,3.0,0.0,2.0,1.0,,,,,,,,,,,,,,,
Bills,,,,,,,,,,,,,,,,73.0,4530.0,20.0,27.4,51.0,22.4,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
Raiders,,,,,,,,,,,,,,,,73.0,4565.0,38.0,52.0,30.0,28.9,7.0,0.0,2.0,2.0,,,,,,,,,,,,,,,
Dolphins,,,,,,,,,,,,,,,,71.0,4630.0,34.0,47.9,35.0,24.8,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
Eagles,,,,,,,,,,,,,,,,70.0,4429.0,26.0,37.1,41.0,24.7,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Jaguars,,,,,,,,,,,,,,,,69.0,4469.0,26.0,37.7,39.0,25.9,3.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
Jets,,,,,,,,,,,,,,,,69.0,4360.0,12.0,17.4,54.0,21.9,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
Rams,,,,,,,,,,,,,,,,68.0,4507.0,37.0,54.4,30.0,24.3,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Cardinals,,,,,,,,,,,,,,,,64.0,4000.0,29.0,45.3,32.0,26.4,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Chiefs,,,,,,,,,,,,,,,,58.0,3716.0,27.0,46.6,27.0,25.6,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
Lions,,740.0,,,,,,,,57T,,,,,,,,,,,,,,,22.0,445.0,60.1,6.9,5139.0,17.0,81.5,272.0,36.8,67.0,10.0,29.0,212.0,,,
Saints,,671.0,,,,,,,,80T,,,,,,,,,,,,,,,43.0,423.0,63.0,7.7,5187.0,19.0,96.4,267.0,39.8,66.0,13.0,26.0,190.0,,,
Cowboys,,658.0,,,,,,,,85T,,,,,,,,,,,,,,,29.0,434.0,66.0,7.6,4992.0,19.0,91.3,237.0,36.0,55.0,9.0,36.0,263.0,,,
Patriots,,641.0,,,,,,,,83T,,,,,,,,,,,,,,,34.0,402.0,62.7,7.6,4844.0,9.0,97.7,256.0,39.9,57.0,8.0,27.0,182.0,,,
Raiders,,629.0,,,,,,,,64T,,,,,,,,,,,,,,,24.0,376.0,59.8,6.8,4292.0,16.0,82.4,200.0,31.8,52.0,10.0,27.0,208.0,,,
Colts,,628.0,,,,,,,,70,,,,,,,,,,,,,,,23.0,339.0,54.0,7.0,4374.0,18.0,76.4,208.0,33.1,65.0,11.0,41.0,246.0,,,
Eagles,,618.0,,,,,,,,77T,,,,,,,,,,,,,,,18.0,367.0,59.4,6.6,4075.0,15.0,78.6,190.0,30.7,51.0,6.0,48.0,284.0,,,
